"Date","Movie ID (prop69)","Page Views","Unique Visitors"
"October 02, 2021","194619",1,1
"October 02, 2021","194763",1,1
"October 02, 2021","1951",2,2
"October 02, 2021","195234",2,1
"October 02, 2021","195543",2,1
"October 02, 2021","195846",1,1
"October 02, 2021","196457",4,1
"October 02, 2021","196459",1,1
"October 02, 2021","196725",2,1
"October 02, 2021","197438",1,1
"October 02, 2021","197611",1,1
"October 02, 2021","198514",1,1
"October 02, 2021","198538",1,1
"October 02, 2021","198759",1,1
"October 02, 2021","198981",1,1
"October 02, 2021","199157",2,1
"October 02, 2021","199158",1,1
"October 02, 2021","199643",8,1
"October 02, 2021","199925",8,3
"October 02, 2021","200219",3,1
"October 02, 2021","200520",2,1
"October 02, 2021","200532",3,1
"October 02, 2021","200678",1,1
"October 02, 2021","201062",1,1
"October 02, 2021","201091",1,1
"October 02, 2021","201307",2,1
"October 02, 2021","201439",3,2
"October 02, 2021","202672",1,1
"October 02, 2021","202725",2,1
"October 02, 2021","202991",13,4
"October 02, 2021","203382",2,1
"October 02, 2021","203576",1,1
"October 02, 2021","203685",2,1
"October 02, 2021","203733",2,1
"October 02, 2021","203777",1,1
"October 02, 2021","203786",1,1
"October 02, 2021","203801",7,2
"October 02, 2021","203802",4,1
"October 02, 2021","203815",1,1
"October 02, 2021","204022",5,4
"October 02, 2021","204621",1,1
"October 02, 2021","204647",10,2
"October 02, 2021","204648",1,1
"October 02, 2021","204918",2,1
"October 02, 2021","205039",4,1
"October 02, 2021","205252",12,5
"October 02, 2021","205628",1,1
"October 02, 2021","205772",1,1
"October 02, 2021","206496",1,1
"October 02, 2021","206666",16,5
"October 02, 2021","20693",1,1
"October 02, 2021","207285",2,1
"October 02, 2021","207319",1,1
"October 02, 2021","207632",2,1
"October 02, 2021","207769",2,1
"October 02, 2021","207770",8,3
"October 02, 2021","208156",2,1
"October 02, 2021","208157",5,1
"October 02, 2021","208293",1,1
"October 02, 2021","208360",6,1
"October 02, 2021","208383",1,1
"October 02, 2021","208495",4,1
"October 02, 2021","208496",2,1
"October 02, 2021","208497",2,1
"October 02, 2021","208499",7,3
"October 02, 2021","208501",19,3
"October 02, 2021","208662",1,1
"October 02, 2021","209154",2,1
"October 02, 2021","209178",2,1
"October 02, 2021","209222",2,1
"October 02, 2021","209269",6,1
"October 02, 2021","209479",13,1
"October 02, 2021","209614",1,1
"October 02, 2021","209784",2,1
"October 02, 2021","2102",4,1
"October 02, 2021","210268",1,1
"October 02, 2021","211315",2,1
"October 02, 2021","211526",1,1
"October 02, 2021","211527",2,1
"October 02, 2021","211570",1,1
"October 02, 2021","212232",1,1
"October 02, 2021","212474",4,2
"October 02, 2021","212475",4,1
"October 02, 2021","21255",8,3
"October 02, 2021","212584",4,1
"October 02, 2021","2127",1,1
"October 02, 2021","212847",11,6
"October 02, 2021","213136",3,2
"October 02, 2021","213143",1,1
"October 02, 2021","213148",1,1
"October 02, 2021","213162",6,1
"October 02, 2021","213278",5,2
"October 02, 2021","213311",7986,1541
"October 02, 2021","213345",5,1
"October 02, 2021","214164",1,1
"October 02, 2021","214548",2,1
"October 02, 2021","2147",6,5
"October 02, 2021","214718",6,1
"October 02, 2021","214978",4,3
"October 02, 2021","215597",3,1
"October 02, 2021","215604",1,1
"October 02, 2021","215649",2,1
"October 02, 2021","215720",4,1
"October 02, 2021","215721",9,3
"October 02, 2021","215871",34,10
"October 02, 2021","215915",8,4
"October 02, 2021","216026",6,1
"October 02, 2021","216033",10,5
"October 02, 2021","216273",2,1
"October 02, 2021","216526",3,1
"October 02, 2021","216551",2,1
"October 02, 2021","216722",6,2
"October 02, 2021","216893",2,1
"October 02, 2021","216990",5,3
"October 02, 2021","216993",7,3
"October 02, 2021","216994",1,1
